Enterprise_ID,Bangalore_Cluster_Location,S1_Industry_Segment,S1_Size_Category,S1_Employee_Count_Range,S1_Years_in_Operation,S1_Primary_Customer_Type,S2_Q1_Lean_Awareness_1Yes_0No,S2_Q2_Six_Sigma_Awareness_1Yes_0No,S2_Q3_Knowledge_Source,S2_Q4_Knowledge_Level_1to4,S2_Q4_Knowledge_Level_Label,S3_Q1_Lean_Implemented_1Yes_0No,S3_Q2a_Tool_5S_1Yes_0No,S3_Q2b_Tool_Kaizen_1Yes_0No,S3_Q2c_Tool_VSM_1Yes_0No,S3_Q2d_Tool_Kanban_1Yes_0No,S3_Q2e_Tool_PokayYoke_1Yes_0No,S3_Q3_SS_Implemented_1Yes_0No,S3_Q4a_Tool_DMAIC_1Yes_0No,S3_Q4b_Tool_SPC_1Yes_0No,S3_Q4c_Tool_FMEA_1Yes_0No,S3_Q4d_Tool_RCA_1Yes_0No,S3_Q5_Primary_Motivation,S3_Q6_Benefits_Observed,S4_B1_Lack_Awareness_Knowledge,S4_B2_High_Implementation_Cost,S4_B3_Resistance_to_Change,S4_B4_Lack_Skilled_Workforce,S4_B5_Short_Term_Financial_Focus,S4_B6_Difficulty_Data_Collection,S4_B7_No_Govt_Institutional_Support,S4_B8_No_Customer_Market_Pressure,S4_Q_LSS_Can_Benefit_MSMEs,S4_Q_Support_Needed_Most,S4_Q_Pilot_Trial_Willing_1Yes_0No,S4_Q_Interview_Willing_1Yes_0No,Digital_Tools_Currently_Used,DARMM_LSS_Maturity_Score_0to20,DARMM_Digital_Readiness_Score_0to10,DARMM_LSS_Level,DARMM_Digital_Level,DARMM_Position,DARMM_Cluster,Total_Barriers_Selected
MSME_055,Bommasandra Industrial Area,Machining,Micro,1–5 employees,10–20 years,General Engineering / Job Shop,1,1,Customer or OEM requirement,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,0,1,0,0,0,"Maybe, but unsure how",Low-cost training programmes,0,1,Paper records and manual registers only,9,5,L2,A,L2-A,Cluster 1: Analogue Beginners,3
MSME_007,Whitefield EPIP Zone,Sheet Metal Processing,Small,25–49 employees,5–10 years,General Engineering / Job Shop,0,0,Not applicable,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,1,0,1,"Maybe, but unsure how",Industry networking forums,0,1,Paper records and manual registers only,7,1,L1,A,L1-A,Cluster 1: Analogue Beginners,7
MSME_026,Harohalli Industrial Area,Fabrication,Micro,6–9 employees,5–10 years,Automotive OEM / Tier-1,0,0,Not applicable,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,0,1,1,0,1,1,"No, not suitable for MSMEs",Industry networking forums,0,0,Paper records and manual registers only,6,1,L1,A,L1-A,Cluster 1: Analogue Beginners,6
MSME_057,Bidadi Industrial Area,General Engineering (Mixed),Small,10–24 employees,Less than 5 years,General Engineering / Job Shop,1,1,Customer or OEM requirement,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,1,1,1,1,1,1,0,"Maybe, but unsure how",Government incentives / subsidies,0,0,Paper records and manual registers only,9,3,L2,A,L2-A,Cluster 1: Analogue Beginners,6
MSME_081,Peenya Industrial Area,Machining,Small,25–49 employees,Less than 5 years,General Engineering / Job Shop,1,0,Online course / webinar,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,0,0,1,1,0,1,1,1,"Maybe, but unsure how",Affordable LSS consultants,0,0,Tally Prime ERP with production module,13,10,L2,C,L2-C,Cluster 2: Digitally Basic Beginners,5
MSME_096,Whitefield EPIP Zone,Sheet Metal Processing,Small,25–49 employees,5–10 years,Pharmaceutical Equipment,1,1,Customer or OEM requirement,3,Moderate understanding (implemented some practices),1,1,1,0,0,0,0,0,0,0,0,Quality improvement,Increased productivity,1,0,0,1,0,1,0,1,"Maybe, but unsure how",Government incentives / subsidies,1,0,Excel-based production and quality tracking,15,7,L3,B,L3-B,Cluster 3: Partial Adopters,4
MSME_016,Jigani Industrial Area,General Engineering (Mixed),Small,25–49 employees,10–20 years,Automotive OEM / Tier-1,1,0,Industry training programme,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,0,1,1,1,0,1,0,"No, not suitable for MSMEs",Affordable LSS consultants,1,0,Paper records and manual registers only,8,3,L1,A,L1-A,Cluster 1: Analogue Beginners,5
MSME_025,Jigani Industrial Area,Fabrication,Small,10–24 employees,5–10 years,General Engineering / Job Shop,0,1,Industry training programme,1,No knowledge,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,1,0,"Maybe, but unsure how",Government incentives / subsidies,0,0,Paper records and manual registers only,8,3,L1,A,L1-A,Cluster 1: Analogue Beginners,6
MSME_112,Peenya Industrial Area,Machining,Medium,50–99 employees,10–20 years,Industrial Machinery,1,1,Industry association event,4,High understanding (actively using LSS),1,1,1,1,0,1,1,1,0,1,0,Cost reduction,Faster lead times,0,0,1,0,1,0,1,0,"Yes, definitely",Customer-driven LSS requirements,1,0,Excel-based production and quality tracking,17,7,L4,B,L4-B,Cluster 4: Structured Implementers,3
MSME_075,Whitefield EPIP Zone,Machining,Medium,100–249 employees,5–10 years,General Engineering / Job Shop,1,1,Supplier or partner collaboration,2,"Basic awareness (heard of it, not implemented)",0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,1,1,1,1,1,0,1,0,"Maybe, but unsure how",Customer-driven LSS requirements,0,0,Google Sheets + basic Tally ERP,9,7,L2,B,L2-B,Cluster 2: Digitally Basic Beginners,6
